IATA,Name,City
AIP,Adampur Airport,Adampur
IXA,Agartala Airport,Agartala
AGX,Agatti Airport,Agatti
AGR,Agra Airport,Agra
AKD,Akola Airport,Akola
IXD,Allahabad Airport,Allahabad
IXV,Along Airport,Arunachal Pradesh
IXU,Aurangabad Airport,Aurangabad
IXB,Bagdogra Airport,Siliguri
RGH,Balurghat Airport,Balurghat
BEK,Bareilly Air Force Station,Bareilly
RMD,Basanth Nagar Airport,Ramagundam
RMD,Basanth Nagar Airport,Ramagundam
BPM,Begumpet Airport,Hyderabad
IXG,Belgaum Airport,Belgaum
BEP,Bellary Airport,Bellary
BUP,Bathinda Airport,Bathinda
BHU,Bhavnagar Airport,Bhavnagar
BHJ,Bhuj Airport,Bhuj
BBI,Biju Patnaik Airport,Bhubaneswar
PAB,Bilaspur Airport,Bilaspur
IXR,Birsa Munda Airport,Ranchi
CCJ,Calicut International Airport,Calicut
CBD,Car Nicobar Air Force Station,Car Nicobar
IXC,Chandigarh Airport,Chandigarh
LKO,Chaudhary Charan Singh International Airport,Lucknow
